,organization_id,day_of,total_meetings,group_meetings,pooled_meetings,prof_feature_meetings,web_conf_tool_meetings
0,017de4133dbc889091584439c632b9ac,2020-01-10 00:00:00,1,0,0,0,0
1,017de4133dbc889091584439c632b9ac,2020-01-14 00:00:00,1,0,0,0,0
2,017de4133dbc889091584439c632b9ac,2020-02-05 00:00:00,1,0,0,0,0
3,017de4133dbc889091584439c632b9ac,2020-02-10 00:00:00,1,0,0,0,0
4,017de4133dbc889091584439c632b9ac,2020-02-26 00:00:00,1,0,0,0,0
5,017de4133dbc889091584439c632b9ac,2020-07-06 00:00:00,2,0,0,0,0
6,017de4133dbc889091584439c632b9ac,2020-07-08 00:00:00,1,0,0,0,0
7,017de4133dbc889091584439c632b9ac,2020-09-21 00:00:00,1,0,0,0,0
8,017de4133dbc889091584439c632b9ac,2020-10-15 00:00:00,1,0,0,0,0
9,017de4133dbc889091584439c632b9ac,2020-10-28 00:00:00,1,0,0,0,0
10,017de4133dbc889091584439c632b9ac,2020-11-03 00:00:00,2,0,0,0,2
11,01fbfffd6c1754863d2c18abc3313353,2020-01-09 00:00:00,1,0,0,0,0
12,01fbfffd6c1754863d2c18abc3313353,2020-06-13 00:00:00,1,0,0,0,0
13,01fbfffd6c1754863d2c18abc3313353,2020-06-17 00:00:00,1,0,0,0,0
14,01fbfffd6c1754863d2c18abc3313353,2020-08-21 00:00:00,1,0,1,0,0
15,061a3bb03f300330b7e350f53c786165,2020-01-07 00:00:00,1,0,0,0,0
16,061a3bb03f300330b7e350f53c786165,2020-01-15 00:00:00,1,0,0,0,0
17,061a3bb03f300330b7e350f53c786165,2020-01-16 00:00:00,1,0,0,0,1
18,061a3bb03f300330b7e350f53c786165,2020-01-21 00:00:00,1,0,0,0,0
19,061a3bb03f300330b7e350f53c786165,2020-01-30 00:00:00,1,0,0,0,1
20,061a3bb03f300330b7e350f53c786165,2020-08-19 00:00:00,4,0,0,0,4
21,061a3bb03f300330b7e350f53c786165,2020-08-24 00:00:00,1,0,0,0,1
22,061a3bb03f300330b7e350f53c786165,2020-08-25 00:00:00,2,0,0,0,2
23,061a3bb03f300330b7e350f53c786165,2020-08-31 00:00:00,2,0,0,0,2
24,061a3bb03f300330b7e350f53c786165,2020-09-02 00:00:00,1,0,0,0,1
25,061a3bb03f300330b7e350f53c786165,2020-09-07 00:00:00,1,0,0,0,1
26,061a3bb03f300330b7e350f53c786165,2020-09-22 00:00:00,2,0,0,0,2
27,061a3bb03f300330b7e350f53c786165,2020-09-27 00:00:00,2,0,0,0,2
28,061a3bb03f300330b7e350f53c786165,2020-09-28 00:00:00,1,0,0,0,1
29,061a3bb03f300330b7e350f53c786165,2020-10-01 00:00:00,1,0,0,0,1
30,061a3bb03f300330b7e350f53c786165,2020-10-13 00:00:00,2,0,0,0,2
31,061a3bb03f300330b7e350f53c786165,2020-10-14 00:00:00,1,0,0,0,1
32,061a3bb03f300330b7e350f53c786165,2020-10-18 00:00:00,1,0,0,0,1
33,061a3bb03f300330b7e350f53c786165,2020-10-20 00:00:00,1,0,0,0,1
34,061a3bb03f300330b7e350f53c786165,2020-10-26 00:00:00,4,0,0,0,4
